,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,78385,1967-68,00,1610612744,SFW,24.0,42,,482.0,68,157,0.433,,,,36,60,0.6,,,155,16,,,,74,172
1,78385,1968-69,00,1610612744,SFW,25.0,79,,1486.0,222,535,0.415,,,,175,230,0.761,,,380,67,,,,231,619
2,78385,1969-70,00,1610612744,SFW,26.0,3,,75.0,9,17,0.529,,,,5,10,0.5,,,14,1,,,,6,23
3,78385,1969-70,00,1610612758,CIN,26.0,69,,1095.0,188,451,0.417,,,,118,157,0.752,,,290,42,,,,187,494
4,78385,1969-70,00,0,TOT,26.0,72,,1170.0,197,468,0.421,,,,123,167,0.737,,,304,43,,,,193,517
5,78385,1970-71,00,1610612744,SFW,27.0,18,,200.0,26,82,0.317,,,,13,20,0.65,,,42,8,,,,24,65
6,78385,1971-72,00,1610612744,GOS,28.0,62,,597.0,71,181,0.392,,,,40,53,0.755,,,131,22,,,,67,182
7,78385,1972-73,00,1610612747,LAL,29.0,19,,117.0,17,52,0.327,,,,4,7,0.571,,,25,11,,,,13,38
8,78385,1972-73,00,1610612757,POR,29.0,2,,8.0,2,6,0.333,,,,0,0,0.0,,,2,0,,,,3,4
9,78385,1972-73,00,0,TOT,29.0,21,,125.0,19,58,0.328,,,,4,7,0.571,,,27,11,,,,16,42
