,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,445,1994-95,00,1610612756,PHX,24.0,78,56,1800.0,309,638,0.484,116,266,0.436,80,101,0.792,67,134,201,105,48,24,79,149,814
1,445,1995-96,00,1610612756,PHX,25.0,82,47,2609.0,390,877,0.445,117,313,0.374,148,192,0.771,56,265,321,138,55,22,89,148,1045
2,445,1996-97,00,1610612756,PHX,26.0,80,42,2331.0,409,903,0.453,171,414,0.413,91,114,0.798,68,224,292,123,86,20,76,102,1080
3,445,1997-98,00,1610612739,CLE,27.0,82,82,3198.0,440,957,0.46,192,447,0.43,132,170,0.776,65,298,363,188,129,49,110,108,1204
4,445,1998-99,00,1610612739,CLE,28.0,45,42,1342.0,198,437,0.453,75,200,0.375,32,53,0.604,19,123,142,80,37,16,41,52,503
5,445,1999-00,00,1610612739,CLE,29.0,79,38,2056.0,280,654,0.428,106,250,0.424,61,77,0.792,44,223,267,146,40,19,60,119,727
6,445,2000-01,00,1610612739,CLE,30.0,44,22,959.0,128,292,0.438,34,84,0.405,24,30,0.8,11,119,130,64,27,11,40,62,314
7,445,2001-02,00,1610612739,CLE,31.0,78,78,2793.0,467,944,0.495,143,322,0.444,99,124,0.798,50,244,294,173,77,37,74,93,1176
8,445,2002-03,00,1610612763,MEM,32.0,66,44,1939.0,274,601,0.456,100,231,0.433,79,97,0.814,24,168,192,112,42,19,56,64,727
9,445,2003-04,00,1610612763,MEM,33.0,16,0,288.0,33,107,0.308,11,43,0.256,6,8,0.75,2,16,18,23,5,2,16,11,83
10,445,2003-04,00,1610612757,POR,33.0,33,0,620.0,80,168,0.476,36,76,0.474,19,25,0.76,12,62,74,38,11,6,18,22,215
11,445,2003-04,00,1610612737,ATL,33.0,9,0,132.0,13,39,0.333,8,19,0.421,6,6,1.0,2,23,25,5,3,1,4,5,40
12,445,2003-04,00,0,TOT,33.0,58,0,1040.0,126,314,0.401,55,138,0.399,31,39,0.795,16,101,117,66,19,9,38,38,338
13,445,2004-05,00,1610612748,MIA,34.0,16,3,208.0,25,57,0.439,8,21,0.381,4,4,1.0,1,21,22,11,6,0,7,6,62
14,445,2004-05,00,1610612743,DEN,34.0,25,0,461.0,82,169,0.485,33,68,0.485,5,9,0.556,2,59,61,28,13,4,10,24,202
15,445,2004-05,00,0,TOT,34.0,41,3,669.0,107,226,0.473,41,89,0.461,9,13,0.692,3,80,83,39,19,4,17,30,264
