,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,96,1985-86,00,1610612742,DAL,23.0,64,12,969.0,142,315,0.451,3,7,0.429,110,152,0.724,70,128,198,88,23,10,84,166,397
1,96,1986-87,00,1610612742,DAL,24.0,81,5,1711.0,265,561,0.472,33,69,0.478,193,260,0.742,87,216,303,161,50,16,110,224,756
2,96,1987-88,00,1610612742,DAL,25.0,82,4,1587.0,246,539,0.456,5,32,0.156,201,266,0.756,102,177,279,159,42,32,108,189,698
3,96,1988-89,00,1610612742,DAL,26.0,37,1,845.0,112,263,0.426,2,16,0.125,127,161,0.789,56,110,166,86,24,9,56,118,353
4,96,1988-89,00,1610612754,IND,26.0,32,12,1005.0,162,315,0.514,5,19,0.263,146,189,0.772,70,159,229,93,29,10,77,102,475
5,96,1988-89,00,0,TOT,26.0,69,13,1850.0,274,578,0.474,7,35,0.2,273,350,0.78,126,269,395,179,53,19,133,220,828
6,96,1989-90,00,1610612754,IND,27.0,78,18,2573.0,424,822,0.516,17,48,0.354,402,490,0.82,149,471,620,247,59,16,180,271,1267
7,96,1990-91,00,1610612754,IND,28.0,82,3,2632.0,432,831,0.52,15,40,0.375,441,539,0.818,178,482,660,301,58,22,175,262,1320
8,96,1991-92,00,1610612754,IND,29.0,80,4,2605.0,496,925,0.536,23,71,0.324,365,441,0.828,202,568,770,312,62,37,191,286,1380
9,96,1992-93,00,1610612754,IND,30.0,82,60,3098.0,517,1085,0.476,8,52,0.154,525,653,0.804,210,570,780,493,79,27,243,305,1567
10,96,1993-94,00,1610612760,SEA,31.0,81,80,2728.0,445,903,0.493,22,68,0.324,300,390,0.769,144,310,454,275,73,9,173,273,1212
11,96,1994-95,00,1610612760,SEA,32.0,82,82,2886.0,521,997,0.523,93,181,0.514,437,521,0.839,135,373,508,310,93,35,176,252,1572
12,96,1995-96,00,1610612760,SEA,33.0,63,60,2200.0,360,740,0.486,73,179,0.408,287,370,0.776,73,255,328,276,56,8,146,179,1080
13,96,1996-97,00,1610612760,SEA,34.0,61,58,2204.0,356,724,0.492,57,161,0.354,253,316,0.801,87,307,394,266,63,16,150,151,1022
14,96,1997-98,00,1610612760,SEA,35.0,78,78,2742.0,437,898,0.487,61,147,0.415,297,352,0.844,135,419,554,341,60,19,168,205,1232
15,96,1998-99,00,1610612760,SEA,36.0,50,39,1765.0,259,549,0.472,34,86,0.395,200,243,0.823,77,293,370,184,41,26,103,152,752
16,96,1999-00,00,1610612757,POR,37.0,77,6,1662.0,187,433,0.432,21,52,0.404,179,215,0.833,79,253,332,197,37,17,100,182,574
17,96,2000-01,00,1610612757,POR,38.0,26,0,396.0,39,95,0.411,3,8,0.375,23,27,0.852,17,61,78,44,7,3,28,43,104
