,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,77944,1974-75,00,1610612749,MIL,23.0,76,,1755.0,188,427,0.44,,,,35,49,0.714,131,272,403,119,36,19,,172,411
1,77944,1975-76,00,1610612749,MIL,24.0,82,,1650.0,234,493,0.475,,,,24,42,0.571,115,261,376,96,36,12,,151,492
2,77944,1976-77,00,1610612749,MIL,25.0,64,,1116.0,173,334,0.518,,,,12,24,0.5,81,181,262,88,33,11,,102,358
3,77944,1977-78,00,1610612749,MIL,26.0,8,,84.0,13,28,0.464,,,,0,2,0.0,4,10,14,9,0,1,2.0,4,26
4,77944,1977-78,00,1610612758,KCK,26.0,46,,463.0,59,139,0.424,,,,9,11,0.818,32,62,94,21,5,4,15.0,37,127
5,77944,1977-78,00,0,TOT,26.0,54,,547.0,72,167,0.431,,,,9,13,0.692,36,72,108,30,5,5,17.0,41,153
6,77944,1978-79,00,1610612749,MIL,27.0,81,,1598.0,262,529,0.495,,,,51,73,0.699,141,244,385,122,30,27,96.0,155,575
7,77944,1979-80,00,1610612759,SAN,28.0,82,,1966.0,369,727,0.508,5.0,29.0,0.172,131,161,0.814,142,244,386,189,54,12,129.0,186,874
8,77944,1980-81,00,1610612759,SAN,29.0,64,,999.0,192,369,0.52,3.0,8.0,0.375,62,88,0.705,71,103,174,81,16,14,68.0,103,449
9,77944,1981-82,00,1610612759,SAN,30.0,13,0.0,145.0,9,28,0.321,0.0,1.0,0.0,3,4,0.75,8,27,35,7,1,4,6.0,16,21
10,77944,1981-82,00,1610612739,CLE,30.0,34,0.0,338.0,23,60,0.383,0.0,1.0,0.0,7,12,0.583,31,46,77,15,10,7,14.0,40,53
11,77944,1981-82,00,0,TOT,30.0,47,0.0,483.0,32,88,0.364,0.0,2.0,0.0,10,16,0.625,39,73,112,22,11,11,20.0,56,74
