,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,2202,2001-02,00,1610612744,GSW,21.0,80,75,2628.0,464,1090,0.426,82,246,0.333,141,210,0.671,124,216,340,236,106,31,160,195,1151
1,2202,2002-03,00,1610612744,GSW,22.0,82,82,2697.0,476,1161,0.41,123,334,0.368,207,271,0.764,111,267,378,247,90,23,179,201,1282
2,2202,2003-04,00,1610612744,GSW,23.0,78,78,2938.0,563,1284,0.438,77,273,0.282,258,377,0.684,124,400,524,226,86,41,196,182,1461
3,2202,2004-05,00,1610612744,GSW,24.0,72,72,2725.0,610,1368,0.446,125,370,0.338,214,309,0.693,125,299,424,281,105,32,169,156,1559
4,2202,2005-06,00,1610612744,GSW,25.0,75,75,2877.0,641,1438,0.446,183,477,0.384,276,410,0.673,105,333,438,232,97,37,167,206,1741
5,2202,2006-07,00,1610612744,GSW,26.0,51,49,1675.0,306,734,0.417,110,301,0.365,92,140,0.657,71,188,259,172,54,32,82,129,814
6,2202,2007-08,00,1610612766,CHA,27.0,82,82,3149.0,648,1468,0.441,243,599,0.406,249,331,0.752,80,361,441,258,116,57,166,241,1788
7,2202,2008-09,00,1610612766,CHA,28.0,14,14,491.0,97,220,0.441,27,59,0.458,41,55,0.745,13,45,58,36,14,3,24,43,262
8,2202,2008-09,00,1610612756,PHX,28.0,58,57,1919.0,368,754,0.488,102,266,0.383,112,144,0.778,64,197,261,110,62,25,71,103,950
9,2202,2008-09,00,0,TOT,28.0,72,71,2410.0,465,974,0.477,129,325,0.397,153,199,0.769,77,242,319,146,76,28,95,146,1212
10,2202,2009-10,00,1610612756,PHX,29.0,79,76,2485.0,473,998,0.474,157,400,0.393,136,184,0.739,81,323,404,143,66,33,92,169,1239
11,2202,2010-11,00,1610612756,PHX,30.0,25,25,796.0,183,389,0.47,62,148,0.419,55,72,0.764,33,78,111,36,27,3,30,46,483
12,2202,2010-11,00,1610612753,ORL,30.0,55,55,1919.0,289,667,0.433,127,331,0.384,61,87,0.701,34,186,220,111,66,10,65,116,766
13,2202,2010-11,00,0,TOT,30.0,80,80,2715.0,472,1056,0.447,189,479,0.395,116,159,0.73,67,264,331,147,93,13,95,162,1249
14,2202,2011-12,00,1610612753,ORL,31.0,54,54,1591.0,243,596,0.408,102,277,0.368,41,69,0.594,36,158,194,107,53,22,60,91,629
15,2202,2012-13,00,1610612755,PHI,32.0,33,33,936.0,135,336,0.402,57,167,0.341,20,33,0.606,19,108,127,51,40,15,26,57,347
16,2202,2014-15,00,1610612755,PHI,34.0,19,15,416.0,62,178,0.348,31,96,0.323,17,22,0.773,13,53,66,38,13,3,16,28,172
