,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,77984,1978-79,00,1610612754,IND,23.0,43,,849.0,140,295,0.475,,,,90,121,0.744,80,174,254,53,25,12,89,111,370
1,77984,1978-79,00,1610612738,BOS,23.0,36,,914.0,182,378,0.481,,,,84,103,0.816,88,171,259,79,23,3,75,121,448
2,77984,1978-79,00,0,TOT,23.0,79,,1763.0,322,673,0.478,,,,174,224,0.777,168,345,513,132,48,15,164,232,818
3,77984,1979-80,00,1610612738,BOS,24.0,82,27.0,1918.0,379,727,0.521,0.0,1.0,0.0,184,269,0.684,209,321,530,92,53,15,151,244,942
4,77984,1980-81,00,1610612738,BOS,25.0,82,0.0,1569.0,298,547,0.545,0.0,1.0,0.0,144,251,0.574,132,258,390,126,38,19,141,204,740
5,77984,1981-82,00,1610612738,BOS,26.0,80,4.0,1186.0,185,375,0.493,0.0,2.0,0.0,84,157,0.535,114,181,295,68,27,14,92,183,454
6,77984,1982-83,00,1610612738,BOS,27.0,59,6.0,855.0,100,214,0.467,0.0,0.0,0.0,45,78,0.577,79,140,219,65,13,8,72,131,245
7,77984,1983-84,00,1610612756,PHX,28.0,61,4.0,856.0,140,257,0.545,1.0,1.0,1.0,61,88,0.693,80,118,198,65,20,14,77,120,342
8,77984,1984-85,00,1610612756,PHX,29.0,4,0.0,48.0,2,9,0.222,0.0,0.0,,1,2,0.5,3,5,8,5,2,0,8,7,5
9,77984,1985-86,00,1610612756,PHX,30.0,46,1.0,629.0,72,191,0.377,0.0,3.0,0.0,33,48,0.688,40,108,148,58,19,5,66,92,177
